Immediately,Immediately
"After User Interaction","After User Interaction"
"Back Forward Cache","Back Forward Cache"
General,General
"Enable Back Forward Cache","Enable Back Forward Cache"
"Mini Cart Update","Mini Cart Update"
"Mini Cart will be updated immediately on page restore from bfcache or only after user interaction when the page was restored from bfcache.","Mini Cart will be updated immediately on page restore from bfcache or only after user interaction when the page was restored from bfcache."
"Exclude Pages from Caching","Exclude Pages from Caching"
