"Add","Toevoegen"
"Enable","Inschakelen"
"Enter one route name per line to exclude specific pages from being preloaded by the Speculation Rules.","Voer één URL per regel in om specifieke pagina's uit te sluiten van het voorladen door de Speculation Rules."
"Exclude pattern","Uitsluitingspatroon"
"Url","URL"
