"Add","Hinzufügen"
"Enable","Aktivieren"
"Enter one route name per line to exclude specific pages from being preloaded by the Speculation Rules.","Geben Sie einen Routennamen pro Zeile ein, um bestimmte Seiten vom Vorladen durch die Speculation Rules auszuschließen."
"Exclude pattern","Ausschlussmuster"
"Url","URL"
